study_id,full_text_id,datasetName,sampling_effort,data_access,data_resolution,kmsq_site,notes,community
a_321,ft_321,"Hantavirus antibodies in rodents and human cases with pulmonary syndrome, Rio Negro, Argentina.",4311 trap nights,summarised,come back-season,,,
a_324,ft_324,"Population, environmental, and community effects on local bank vole (Myodes glareolus) Puumala virus infection in an area with low human incidence.",3 trap nights,summarised,,,site-seasson but no community level. August and September,n
a_330,ft_330,"Kinship, dispersal and hantavirus transmission in bank and common voles.",3 trap nights,summarised,,,department and by season,y
a_344,ft_344,Soochong virus: an antigenically and genetically distinct hantavirus isolated from Apodemus peninsulae in Korea.,,summarised,session,,Province - Only Apodemus peninsulae reported at site level,
a_346,ft_346,A preliminary study of the patterns of Sin Nombre viral infection and shedding in naturally infected deer mice (Peromyscus maniculatus).,,summarised,session,,"Province - An additional 7 deer mice, not site-session specific, were possitive for SNV (not included here). No communitty level",n
a_687,ft_687,Hantavirus seoul in a human and rodent population from a marginal area in Buenos Aires City.,,summarised,site-session,y,,y
a_350,ft_350,Newly recognized hantaviruses associated with hantavirus pulmonary syndrome in northern Brazil: partial genetic characterization of viruses and serologic implication of likely reservoirs.,,summarised,site-session,y,rodent positive for both Sin Nombre virus and Andes hantavirus,y
a_370,ft_370,Serologic evidence of hantavirus infection in sigmodontine rodents in Mexico.,,summarised,site-session,y,,y
a_375,ft_375,Natural rodent host associations of Guanarito and pirital viruses (Family Arenaviridae) in central Venezuela.,,summarised,site-session,y,Updated version of 395 - temporal info not found and taken from ft_395 ,y
a_385,ft_385,Human and rodent hantavirus infection in New York State: public health significance of an emerging infectious disease.,,summarised,site-session,y,2010 during August and November - 2011 session specific (July),y
a_395,ft_395,Field studies on the epidemiology of Venezuelan hemorrhagic fever: implication of the cotton rat Sigmodon alstoni as the probable rodent reservoir.,,summarised,site-session,y,old version of 375 - only recorded 2 species that were not on 375 and rodents from La Arenosa (not recorded on 375).,
a_420,ft_420,"Dobrava-Belgrade virus in Apodemus flavicollis and A. uralensis mice, Turkey.",,summarised,site-session,n,"3 places are 1 kmsq or less, not the rest",
a_480,ft_480,"Hantavirus pulmonary syndrome in Central Bolivia: relationships between reservoir hosts, habitats, and viral genotypes.",,summarised,site-session,y,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
,,#N/A,,,,,,
